x,Industry Effect,Country Effect
1991.503,0.6903,2.127
1991.5416,0.7546,2.1349
1991.8499,1.0311,2.1166
1991.8884,1.0309,2.0901
1992.1582,0.9646,1.6604
1992.3124,0.9162,1.4653
1992.4665,0.878,1.3845
1992.6592,0.8539,1.3498
1993.1217,0.8764,1.5487
1993.1602,0.8823,1.5915
1993.3915,0.9239,1.9426
1993.6227,0.9244,2.0668
1993.7383,0.8946,2.1016
1994.2008,0.7796,2.1044
1994.2779,0.7716,2.0293
1994.6247,0.7684,1.6757
1995.0101,0.7946,1.9918
1995.2799,0.817,1.6405
1995.5882,0.8333,1.5248
1995.8195,0.8596,1.2358
1995.858,0.8714,1.1735
1996.0892,0.9584,1.0573
1996.2049,0.9796,1.0835
1996.6673,0.9463,1.1393
1996.8215,0.905,1.1184
1997.2454,0.7507,1.0151
1997.3996,0.7525,0.987
1997.9006,0.7548,1.0499
1997.9777,0.7313,1.069
1998.4016,0.7187,1.1715
1998.5172,0.8173,1.2292
1998.7099,1.0185,1.5833
1999.0568,1.3502,1.8437
1999.1724,1.5862,1.9163
1999.4037,1.8722,2.0582
1999.4807,1.9411,2.1119
1999.6349,2.1329,1.942
1999.7505,2.178,1.8679
1999.9047,2.1207,1.7084
2000.1359,1.8667,1.3802
2000.2901,1.8427,1.2794
2000.4057,2.0252,1.2857
2000.4828,2.3786,1.3167
2000.5213,3.0455,1.338
2000.6369,4.3012,1.4201
2000.8296,4.7406,1.5965
2000.8682,4.8516,1.6351
2000.9067,5.1656,1.674
2001.1765,5.4418,1.8962
2001.2921,5.2779,1.9131
2001.3692,5.0116,1.8778
2001.4848,4.5025,1.7658
2001.5233,3.7968,1.717
2001.6389,3.2553,1.5623
2001.716,3.1706,1.5038
2001.9473,3.2882,1.4857
2002.1014,3.4083,1.462
2002.3712,3.1746,1.4094
2002.6795,2.6275,1.3478
2002.7566,2.4991,1.3339
2002.9108,2.2368,1.3115
2003.1805,1.8855,1.2978
2003.2191,1.8788,1.2975
2003.5274,2.0053,1.3779
2003.7201,2.0229,1.6144
2003.7586,2.0068,1.5921
2003.9128,1.8509,1.4443
2004.144,1.4993,1.2149
2004.1826,1.4413,1.1859
2004.4138,1.1873,1.1068
2004.6836,1.1012,1.1105
2004.8377,1.0723,1.101
2005.3387,0.9521,1.0362
2005.4544,0.9192,1.0253
2005.8783,0.8434,0.9611
2006.4178,0.9099,0.8075
2006.4949,0.9257,0.8214
2006.7647,1.0058,0.9586
2006.9189,1.0329,1.0852
2007.3043,1.0621,1.2052
2007.4199,1.049,1.1582
2007.6511,0.8152,1.0517
2008.0365,0.7783,0.9337
2008.0751,0.7956,0.9354
2008.3063,0.9506,1.2898
2008.4219,1.016,1.3778
2008.7688,1.0966,1.6729
2008.9615,1.4507,1.8429
