x,MSCI,MSCI-ESG
2006.4043,99.693,106.961
2006.4227,101.487,107.521
2006.5145,104.437,107.682
2006.5329,103.972,107.557
2006.7902,92.865,104.422
2006.9188,93.291,102.27
2007.0475,99.902,99.652
2007.1026,98.957,98.258
2007.2312,92.91,90.593
2007.2496,91.539,88.376
2007.2864,87.555,86.283
2007.415,78.084,81.369
2007.4334,76.259,80.56
2007.4885,67.782,75.678
2007.5069,64.499,70.671
2007.5436,57.479,61.479
2007.5988,49.507,55.01
2007.6355,47.591,53.625
2007.8009,44.463,52.557
2007.9112,44.321,49.942
2008.0398,46.548,48.045
2008.1133,50.115,52.042
2008.1685,55.345,59.193
2008.2236,60.023,65.266
2008.2787,62.779,69.101
2008.4257,68.291,76.491
2008.4625,69.783,78.192
2008.6279,76.972,85.204
2008.6646,78.39,86.46
2008.9035,84.423,92.369
2008.9587,84.805,93.089
2009.1792,84.039,93.421
2009.1975,83.987,93.526
2009.3629,84.429,96.017
2009.3813,84.472,95.939
2009.5467,84.921,94.799
2009.6018,85.732,96.046
2009.7489,90.899,103.067
2009.804,93.176,106.679
2009.8959,96.13,112.567
2010.0245,98.147,116.589
2010.0796,98.355,116.709
2010.2818,99.823,114.659
2010.3185,100.897,115.084
2010.5023,106.018,123.351
2010.5207,106.033,123.522
2010.7963,97.361,117.608
2010.8147,96.166,116.603
2010.8882,88.163,107.72
2010.9066,86.279,105.704
2010.9801,87.496,102.781
2011.0352,87.942,103.69
2011.1087,87.061,105.269
2011.2557,86.315,107
2011.2925,88.524,108.587
2011.3844,96.225,118.036
2011.4028,96.531,118.495
2011.6233,91.301,112.285
2011.6417,90.597,111.509
2011.807,86.71,108.64
2011.8254,86.786,109.014
2012.0643,91.875,116.089
2012.1194,93.414,117.701
2012.34,98.58,122.715
2012.4319,99.632,124.272
2012.6891,98.856,126.05
2012.7994,96.783,123.805
2012.928,92.718,119.477
2013.075,89.802,117.607
2013.1853,93.797,119.504
2013.2956,97.659,127.046
2013.3507,97.446,128.593
2013.5712,92.327,121.158
2013.5896,92.133,120.782
2013.7734,93.612,127.399
2013.8836,96.483,130.873
2014.049,101.673,135.263
2014.1776,104.348,140.141
2014.2695,103.732,142.708
2014.4165,99.424,138.079
2014.4349,98.879,137.364
2014.6922,94.722,133.68
2014.7289,94.921,134.002
2014.9495,100.477,138.655
2015.0046,101.547,139.7
2015.1332,100.311,139.086
2015.2251,96.209,135.021
2015.2986,90.896,129.618
2015.3721,86.327,122.077
2015.4089,85.226,119.733
2015.5743,83.049,119.338
2015.8315,78.539,114.003
2016.0153,80.034,115.672
2016.0337,80.21,116.867
2016.1623,80.876,124.759
2016.2726,82.709,123.538
2016.3277,84.703,122.302
2016.3645,86.278,127.254
2016.4747,90.368,132.214
2016.5299,91.395,136.172
2016.5482,91.55,136.345
2016.8055,89.888,133.897
2016.8606,89.779,131.796
2016.9342,90.581,133.498
2017.0077,92.575,136.393
2017.0444,93.967,136.396
2017.1179,97.229,143.002
2017.2098,101.214,145.486
2017.3384,104.428,152.097
2017.4303,104.518,154.58
