x,XIV
2015.47113,92.71
2015.48933,78.08
2015.50991,88.32
2015.52789,100.02
2015.56659,104.41
2015.61053,100.02
2015.61623,34.03
2015.61843,58.72
2015.61862,57.59
2015.63188,8.54
2015.6397,6.39
2015.694,-2.39
2015.70165,10.78
2015.73259,16.63
2015.77381,28.33
2015.81002,22.48
2015.85906,25.41
2015.8798,15.16
2015.90312,6.39
2015.93666,10.78
2015.95741,-0.93
2015.97562,-17.02
2016.01441,-22.87
2016.05063,-31.65
2016.07898,-24.34
2016.10728,-11.17
2016.15624,2
2016.19495,6.39
2016.26459,16.63
2016.29558,16.63
2016.31874,26.87
2016.33411,42.96
2016.35748,26.87
2016.37314,6.39
2016.41963,6.39
2016.44275,21.02
2016.46335,28.33
2016.49687,35.65
2016.50188,54.67
2016.54842,47.35
2016.57412,63.45
2016.58201,45.89
2016.59763,29.8
2016.613,45.89
2016.64134,53.2
2016.68007,54.67
2016.70071,57.59
2016.7085,51.74
2016.73185,38.57
2016.73958,41.15
2016.742,60.52
2016.7652,66.37
2016.80127,76.61
2016.84504,92.71
2016.8657,92.71
2016.88108,107.34
2016.89902,124.89
2016.91702,133.67
2016.94018,143.91
2016.96078,151.23
2016.96839,168.78
2017.01231,165.86
2017.01493,161.47
2017.03809,171.71
2017.05601,190.73
2017.07152,189.27
2017.08451,180.49
2017.11293,179.03
2017.13632,160.01
2017.14651,177.56
2017.14896,193.66
2017.1643,212.68
2017.21069,224.38
2017.211,224
2017.24687,221.45
2017.28041,225.84
2017.30358,234.62
2017.33468,221.45
2017.36029,247.79
2017.37817,272.66
2017.40913,275.59
2017.43007,241.94
2017.44068,206.82
2017.45104,203.9
2017.49739,219.99
2017.50755,240.47
2017.53572,269.73
2017.56652,293.14
2017.57929,310.7
2017.59458,337.03
2017.62046,329.72
2017.64877,341.42
2017.66696,328.26
2017.68488,347.28
2017.69762,369.22
2017.73365,383.85
2017.73389,383.59
2017.74637,407.26
2017.7643,426.28
2017.79774,442.37
2017.80275,461.39
2017.82593,468.71
2017.83116,461.39
2017.84165,440.91
2017.85999,408.72
2017.86547,370.68
2017.87375,304.85
2017.87702,219.99
2017.87767,140.99
2017.87898,-19.95
2017.8809,60.52
